Time,TSN(1)-Verb,TSN(2)-Verb,TSN(3)-Verb,TSN(4)-Verb,TSN(5)-Verb,TSM(1)-Verb,TSM(2)-Verb,TSM(3)-Verb,TSM(4)-Verb,TSM(5)-Verb,TSN(1)-Noun,TSN(2)-Noun,TSN(3)-Noun,TSN(4)-Noun,TSN(5)-Noun,TSM(1)-Noun,TSM(2)-Noun,TSM(3)-Noun,TSM(4)-Noun,TSM(5)-Noun,GT-Verb,GT-Noun
06:31.5,put,take,open,close,wash,put,take,open,close,wash,spoon,knife,pan,plate,bowl,pan,knife,lid,bowl,plate,cut,melon
06:33.4,put,take,open,close,wash,put,take,open,close,move,pan,spoon,lid,plate,knife,pan,lid,spoon,knife,plate,take,melon
06:35.3,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,plate,knife,lid,pan,spoon,bowl,knife,take,melon
06:37.2,take,put,open,close,wash,take,put,open,close,move,pan,bowl,knife,spoon,plate,pan,lid,plate,bowl,spoon,take,melon
06:39.2,put,take,open,close,wash,put,take,open,close,move,plate,pan,spoon,knife,bowl,knife,pan,spoon,plate,bowl,cut,melon
06:41.1,put,take,open,close,wash,put,take,open,close,move,plate,pan,spoon,knife,bowl,spoon,pan,plate,knife,bowl,put,melon
0:06:43,put,take,open,close,wash,put,take,open,close,move,bowl,pan,plate,knife,lid,pan,knife,lid,plate,spoon,put,melon
06:44.9,take,put,open,close,wash,put,take,open,close,move,pan,lid,knife,plate,spoon,pan,plate,lid,knife,spoon,put,melon
06:46.8,put,take,open,close,wash,put,take,open,close,move,plate,bowl,pan,spoon,lid,knife,plate,lid,spoon,bowl,put,melon
06:48.8,put,take,open,close,wash,put,take,open,close,move,pan,lid,knife,bowl,spoon,spoon,pan,lid,knife,plate,take,blender
06:50.7,put,take,open,close,wash,put,take,open,close,move,plate,pan,knife,bowl,lid,pan,bowl,lid,plate,top,attach,blender
06:52.6,put,take,open,close,wash,take,put,open,close,move,spoon,pan,lid,plate,knife,pan,knife,plate,spoon,bowl,mix,yoghurt
06:54.5,take,put,open,close,wash,put,take,open,close,move,pan,knife,plate,spoon,bowl,pan,plate,lid,knife,spoon,mix,yoghurt
06:56.4,put,take,open,close,wash,put,take,open,close,move,pan,spoon,lid,knife,bowl,pan,plate,lid,knife,bowl,take,cream
06:58.4,put,take,open,close,wash,put,take,open,move,close,pan,bowl,plate,lid,spoon,pan,knife,plate,spoon,bowl,cut,cake
07:00.3,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,spoon,bowl,pan,plate,spoon,lid,bowl,mix,egg
07:02.2,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,bowl,plate,pan,plate,knife,bowl,lid,mix,bowl
07:04.1,put,take,close,open,wash,put,take,open,close,move,plate,spoon,bowl,pan,lid,spoon,pan,lid,knife,plate,cut,bowl
07:06.0,take,put,open,close,wash,put,take,open,close,move,pan,bowl,lid,knife,spoon,pan,knife,plate,lid,spoon,put,glass
07:08.0,put,take,open,close,wash,put,take,open,close,move,plate,pan,bowl,lid,knife,spoon,pan,knife,bowl,plate,mix,glass
07:09.9,put,take,open,close,wash,put,take,open,close,move,pan,bowl,lid,spoon,plate,pan,spoon,lid,plate,knife,mix,glass
07:11.8,take,put,open,close,wash,put,take,open,close,move,pan,knife,plate,bowl,spoon,pan,spoon,lid,knife,plate,take,chocolate
07:13.7,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,lid,pan,spoon,plate,lid,knife,roll,chocolate
07:15.6,put,take,open,close,wash,put,take,open,close,wash,pan,spoon,knife,bowl,plate,pan,knife,plate,lid,spoon,roll,chocolate
07:17.6,put,take,open,close,wash,put,take,open,close,move,pan,spoon,plate,lid,knife,pan,lid,plate,knife,spoon,take,chocolate
07:19.5,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,knife,pan,plate,bowl,lid,spoon,unwrap,chocolate
07:21.4,put,take,open,close,wash,put,take,open,close,move,plate,pan,knife,lid,spoon,pan,plate,spoon,knife,lid,take,chocolate
07:23.3,put,take,open,close,wash,put,take,open,close,move,lid,spoon,pan,bowl,knife,pan,spoon,knife,lid,bowl,press,chocolate
07:25.2,put,take,open,close,wash,put,take,open,close,move,lid,pan,knife,bowl,plate,pan,spoon,knife,lid,plate,press,chocolate
07:27.2,put,take,open,close,wash,put,take,open,close,wash,plate,bowl,spoon,pan,knife,pan,spoon,lid,plate,bowl,unwrap,chocolate
07:29.1,put,take,open,close,wash,put,take,open,close,move,plate,lid,spoon,knife,pan,pan,spoon,plate,knife,lid,put,chocolate
0:07:31,put,take,open,close,wash,put,take,open,close,move,pan,spoon,knife,bowl,plate,pan,lid,spoon,knife,plate,move,mug
07:32.9,put,take,open,close,wash,put,take,open,close,move,bowl,plate,pan,spoon,knife,pan,plate,bowl,spoon,lid,move,mug
07:34.8,put,take,open,close,wash,put,take,open,close,move,lid,pan,plate,spoon,bowl,pan,lid,plate,spoon,knife,pour,mug
07:36.8,put,take,open,close,wash,put,take,open,move,close,plate,pan,knife,spoon,bowl,pan,lid,plate,spoon,bowl,put,mug
07:38.7,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,spoon,bowl,pan,spoon,lid,plate,bowl,mix,mug
07:40.6,put,take,open,close,wash,put,take,open,close,move,pan,lid,knife,spoon,plate,pan,lid,bowl,spoon,knife,move,mug
07:42.5,put,take,open,close,wash,put,take,open,close,move,pan,spoon,plate,lid,knife,pan,lid,knife,spoon,plate,switch,microwave
07:44.4,put,take,open,close,wash,put,take,open,close,remove,pan,spoon,plate,bowl,knife,pan,lid,spoon,bowl,plate,open,microwave
07:46.4,put,take,open,close,wash,put,take,open,close,move,pan,knife,bowl,plate,lid,pan,lid,plate,spoon,knife,hold,mug
07:48.3,put,take,open,close,wash,put,take,open,close,move,bowl,lid,plate,pan,spoon,pan,knife,spoon,plate,lid,turn-down,bowl
07:50.2,put,take,open,close,wash,put,take,open,close,move,lid,spoon,knife,plate,pan,pan,knife,spoon,lid,plate,mix,spoon
07:52.1,put,take,open,close,wash,take,put,open,move,close,pan,lid,plate,knife,spoon,pan,lid,spoon,plate,knife,take,cake
07:54.0,put,take,open,close,wash,put,take,open,close,move,plate,spoon,lid,bowl,knife,pan,plate,knife,spoon,lid,take,tray
07:56.0,put,take,open,wash,close,put,take,open,close,move,pan,knife,spoon,plate,lid,pan,spoon,lid,knife,plate,rub,tray
07:57.9,put,take,open,close,wash,put,take,open,close,move,pan,knife,plate,lid,spoon,pan,knife,spoon,lid,plate,hold,tray
07:59.8,put,take,open,close,wash,put,take,open,close,move,plate,pan,lid,knife,spoon,pan,spoon,lid,knife,plate,apply,chocolate
08:01.7,put,take,open,close,wash,put,take,open,close,move,bowl,plate,pan,spoon,knife,pan,spoon,plate,knife,lid,apply,chocolate
08:03.6,put,take,open,close,wash,put,take,open,close,move,pan,knife,plate,lid,bowl,knife,pan,lid,water,plate,put,tray
08:05.6,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,spoon,knife,pan,knife,spoon,bowl,plate,take,cake
08:07.5,put,take,close,open,wash,put,take,open,close,move,pan,plate,knife,bowl,spoon,pan,spoon,lid,plate,knife,add,butter
08:09.4,take,put,open,close,wash,put,take,open,close,move,pan,spoon,plate,lid,knife,lid,pan,knife,plate,spoon,put,cake
08:11.3,put,take,open,close,wash,put,take,close,open,move,pan,lid,spoon,plate,knife,pan,spoon,knife,lid,bowl,open,microwave
08:13.2,put,take,close,open,wash,put,take,open,close,move,pan,knife,lid,plate,spoon,pan,spoon,plate,lid,bowl,put,yoghurt
08:15.2,put,take,open,close,wash,take,put,open,close,move,pan,knife,spoon,plate,lid,pan,spoon,knife,plate,lid,use,knife
08:17.1,put,take,open,close,wash,put,take,open,close,move,plate,knife,pan,spoon,lid,pan,spoon,knife,plate,bowl,cut,package
0:08:19,put,take,open,close,wash,put,take,open,close,move,pan,knife,bowl,lid,spoon,pan,lid,knife,plate,spoon,put,plate
08:20.9,put,take,open,close,wash,put,take,open,close,move,pan,lid,spoon,bowl,plate,pan,plate,knife,spoon,lid,unwrap,package
08:22.8,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,spoon,bowl,pan,plate,knife,spoon,bowl,hold,biscuit
08:24.8,put,take,open,close,wash,put,take,open,close,move,pan,spoon,lid,knife,plate,knife,pan,spoon,bowl,plate,cut,cake
08:26.7,take,put,open,close,wash,put,take,open,close,move,plate,pan,spoon,bowl,knife,pan,spoon,bowl,plate,knife,take,cake
08:28.6,take,put,open,close,wash,put,take,open,close,move,plate,pan,knife,lid,bowl,pan,spoon,knife,plate,lid,open,package
08:30.5,put,take,open,close,wash,put,take,open,close,move,spoon,lid,pan,plate,bowl,pan,spoon,bowl,knife,lid,unroll,sheets
08:32.4,put,take,open,close,wash,put,take,open,close,move,pan,knife,plate,lid,bowl,pan,plate,spoon,lid,bowl,apply,nutella
08:34.4,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,knife,spoon,pan,plate,lid,bowl,spoon,roll,sheets
08:36.3,put,take,open,close,wash,put,take,open,close,move,pan,bowl,knife,spoon,plate,pan,knife,lid,bowl,spoon,roll,sheets
08:38.2,put,take,open,wash,close,put,take,open,close,move,bowl,plate,pan,knife,cupboard,pan,spoon,knife,plate,lid,cut,bread
08:40.1,take,put,open,close,wash,put,take,open,close,move,pan,spoon,bowl,plate,knife,pan,spoon,plate,knife,lid,put,pie
08:42.0,put,take,open,close,move,put,take,open,close,move,bowl,pan,plate,spoon,top,pan,plate,spoon,lid,bowl,put,microwave
08:44.0,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,spoon,top,pan,spoon,lid,knife,top,put,tray
08:45.9,put,take,open,close,wash,put,take,open,close,move,pan,bowl,spoon,lid,knife,pan,lid,spoon,bowl,plate,apply,pastry
08:47.8,take,put,open,close,wash,put,take,open,close,move,pan,knife,plate,spoon,lid,pan,spoon,plate,knife,bowl,spill,chocolate
08:49.7,put,take,open,close,wash,put,take,open,close,move,bowl,pan,top,spoon,lid,pan,spoon,plate,knife,lid,eat,pie
08:51.6,put,take,open,close,wash,put,take,open,close,move,spoon,plate,pan,lid,knife,pan,knife,plate,lid,spoon,take,spoon
08:53.6,put,take,close,open,wash,put,take,open,close,move,plate,bowl,pan,lid,top,pan,lid,plate,water,knife,take,bottle
08:55.5,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,knife,bowl,pan,knife,spoon,plate,lid,flip,bottle
08:57.4,put,take,open,close,wash,put,take,open,close,move,plate,bowl,pan,spoon,lid,spoon,pan,lid,plate,bowl,put,egg
08:59.3,put,take,open,close,wash,put,take,open,close,move,pan,top,bowl,plate,lid,pan,lid,bowl,spoon,plate,take,egg
09:01.2,put,take,close,open,wash,put,take,open,close,move,pan,bowl,lid,plate,spoon,pan,bowl,plate,lid,spoon,take,egg
09:03.2,put,take,open,close,wash,put,take,open,close,move,pan,knife,lid,bowl,spoon,pan,lid,spoon,knife,plate,put,egg
09:05.1,take,put,open,close,wash,put,take,open,close,move,pan,lid,knife,spoon,plate,pan,spoon,lid,knife,bowl,turn,egg
0:09:07,put,take,open,close,wash,put,take,open,close,move,lid,pan,plate,knife,bowl,pan,spoon,plate,lid,knife,turn,egg
09:08.9,put,take,open,close,wash,put,take,open,close,move,pan,bowl,spoon,knife,plate,pan,spoon,plate,lid,bowl,move,egg
09:10.8,take,put,open,close,wash,put,take,open,close,move,pan,plate,knife,lid,spoon,spoon,pan,lid,knife,plate,move,egg
09:12.8,take,put,open,close,wash,take,put,open,close,move,pan,plate,knife,spoon,bowl,pan,spoon,bowl,plate,knife,turn,egg
09:14.7,put,take,open,close,wash,take,put,open,close,move,plate,pan,knife,spoon,bowl,pan,spoon,lid,knife,plate,turn,egg
09:16.6,take,put,open,close,wash,put,take,open,close,move,pan,plate,lid,spoon,knife,pan,lid,plate,bowl,top,put,egg
09:18.5,put,take,open,close,wash,take,put,open,close,move,pan,knife,lid,plate,bowl,pan,knife,spoon,plate,lid,turn,egg
09:20.4,take,put,open,close,wash,put,take,open,close,move,pan,spoon,bowl,lid,plate,pan,spoon,lid,knife,plate,move,egg
09:22.4,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,bowl,spoon,spoon,pan,knife,bowl,lid,put,egg
09:24.3,put,take,open,close,wash,put,take,open,close,move,pan,lid,bowl,spoon,knife,pan,lid,plate,bowl,spoon,move,egg
09:26.2,put,take,open,close,wash,put,take,open,close,wash,bowl,pan,spoon,lid,knife,pan,knife,lid,spoon,plate,break,egg
09:28.1,put,take,open,close,wash,put,take,open,close,move,plate,lid,pan,knife,bowl,pan,lid,spoon,knife,plate,roll,egg
09:30.0,take,put,open,close,wash,put,take,open,close,move,pan,spoon,knife,bowl,plate,pan,plate,lid,spoon,bowl,break,egg
09:32.0,put,take,open,close,wash,put,take,open,close,move,spoon,pan,plate,lid,bowl,pan,spoon,plate,knife,bowl,peel,egg
09:33.9,put,take,open,close,wash,put,take,open,close,move,knife,pan,lid,plate,spoon,pan,lid,spoon,knife,plate,put,glass
09:35.8,put,take,close,open,wash,put,take,open,close,move,bowl,knife,lid,pan,spoon,pan,knife,lid,spoon,bowl,add,water
09:37.7,put,take,open,wash,close,put,take,open,close,move,plate,bowl,knife,pan,spoon,pan,plate,knife,bowl,lid,shake,glass
09:39.6,put,take,open,close,wash,put,take,open,close,move,pan,knife,plate,lid,top,pan,plate,knife,lid,spoon,shake,glass
09:41.6,put,take,open,close,wash,put,take,open,close,move,pan,knife,lid,plate,bowl,pan,spoon,plate,lid,knife,squeeze,egg
09:43.5,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,spoon,lid,lid,spoon,pan,plate,bowl,hold,egg
09:45.4,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,lid,knife,plate,pan,bowl,knife,spoon,put,egg
09:47.3,put,take,open,close,wash,put,take,open,close,move,pan,spoon,tap,bowl,knife,pan,lid,knife,spoon,plate,shake,bottle
09:49.2,put,take,open,close,wash,put,take,open,close,move,pan,spoon,knife,plate,bowl,pan,plate,bowl,lid,spoon,shake,bottle
09:51.2,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,knife,bowl,pan,plate,lid,spoon,knife,peel,egg
09:53.1,put,take,open,close,wash,put,take,open,close,move,pan,spoon,knife,plate,bowl,pan,spoon,plate,lid,knife,peel,egg
0:09:55,put,take,open,close,wash,put,take,open,close,move,pan,lid,plate,bowl,knife,pan,lid,spoon,plate,top,take,egg
09:56.9,put,take,open,close,wash,take,put,open,close,move,pan,lid,plate,spoon,bowl,pan,lid,spoon,plate,bowl,peel,egg
09:58.8,put,take,open,close,wash,put,take,open,close,move,knife,pan,lid,spoon,plate,pan,plate,spoon,knife,lid,cut,egg
10:00.8,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,spoon,bowl,pan,spoon,knife,lid,plate,cut,egg
10:02.7,put,take,open,close,wash,put,take,open,close,move,pan,bowl,spoon,lid,knife,pan,plate,knife,lid,spoon,put,pan
10:04.6,put,take,open,close,wash,put,take,open,close,move,pan,plate,bowl,knife,lid,pan,spoon,knife,lid,bowl,put,egg
10:06.5,put,take,open,close,wash,put,take,open,move,close,pan,plate,lid,spoon,knife,pan,spoon,lid,plate,knife,cook,egg
10:08.4,put,take,open,close,wash,put,take,open,move,close,pan,bowl,lid,spoon,top,pan,spoon,lid,plate,knife,put,egg
10:10.4,put,take,open,close,wash,put,take,open,close,move,pan,spoon,plate,knife,bowl,pan,plate,spoon,lid,bowl,turn,plate
10:12.3,put,take,open,close,wash,put,take,open,close,move,spoon,pan,bowl,lid,knife,pan,spoon,lid,knife,plate,cut,egg
10:14.2,put,take,open,close,wash,put,take,open,close,move,plate,pan,spoon,knife,bowl,knife,pan,spoon,plate,lid,put,egg
10:16.1,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,spoon,lid,pan,lid,spoon,knife,plate,cut,mushroom
10:18.0,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,spoon,bowl,pan,plate,spoon,lid,knife,take,mushroom
10:20.0,put,take,open,close,wash,put,take,open,close,move,plate,pan,bowl,spoon,lid,pan,lid,knife,spoon,bowl,cut,butter
10:21.9,put,take,open,close,wash,put,take,open,close,move,plate,pan,spoon,bowl,lid,pan,spoon,knife,plate,lid,put,butter
10:23.8,put,take,open,wash,close,take,put,open,close,move,pan,bowl,plate,knife,top,pan,lid,plate,bowl,spoon,cut,sausage
10:25.7,put,take,open,close,wash,put,take,open,close,move,pan,bowl,knife,plate,lid,pan,spoon,plate,knife,lid,cut,sausage
10:27.6,put,take,open,close,wash,put,take,open,close,move,knife,spoon,plate,pan,lid,bowl,pan,spoon,lid,plate,cut,potato
10:29.6,put,take,open,close,wash,put,take,open,close,move,pan,spoon,lid,knife,plate,pan,spoon,plate,lid,knife,cut,cheeze
10:31.5,put,take,open,close,wash,put,take,open,close,wash,pan,bowl,spoon,plate,top,pan,lid,plate,spoon,bowl,take,cheeze
10:33.4,take,put,open,wash,close,put,take,open,close,move,spoon,plate,pan,bowl,knife,pan,spoon,plate,bowl,lid,cut,berry
10:35.3,put,take,open,close,wash,put,take,open,close,move,plate,pan,knife,spoon,bowl,pan,spoon,plate,knife,bowl,cut,kiwi
10:37.2,put,take,open,close,wash,put,take,open,close,move,pan,plate,spoon,knife,bowl,pan,plate,spoon,lid,knife,cut,kiwi
10:39.2,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,top,spoon,pan,spoon,knife,bowl,lid,use,spoon
10:41.1,put,take,close,open,wash,put,take,open,close,move,plate,knife,spoon,pan,bowl,knife,pan,spoon,bowl,lid,put,kiwi
0:10:43,put,take,close,open,move,take,put,open,close,move,bowl,plate,pan,knife,lid,pan,spoon,knife,lid,plate,cut,kiwi
10:44.9,take,put,open,close,wash,put,take,open,close,move,pan,plate,knife,spoon,lid,pan,lid,plate,bowl,spoon,put,kiwi
10:46.8,put,take,open,close,wash,put,take,open,close,move,pan,bowl,plate,lid,knife,pan,lid,knife,plate,spoon,put,kiwi
10:48.8,put,take,open,close,wash,put,take,open,close,move,pan,plate,lid,bowl,knife,pan,lid,water,plate,bowl,cut,kiwi
10:50.7,put,take,close,open,wash,put,take,open,close,move,lid,knife,bowl,plate,pan,pan,spoon,plate,bowl,knife,put,glass
10:52.6,take,put,open,close,wash,put,take,open,close,move,plate,pan,spoon,knife,bowl,pan,plate,spoon,lid,knife,put,glass
10:54.5,put,take,open,close,move,take,put,open,close,move,pan,knife,plate,bowl,lid,pan,spoon,knife,plate,lid,hold,glass
10:56.4,take,put,open,close,wash,take,put,open,close,move,bowl,spoon,pan,plate,knife,pan,bowl,plate,spoon,knife,put,kiwi
10:58.4,put,take,open,wash,close,put,take,open,close,move,pan,knife,bowl,plate,lid,pan,knife,plate,lid,spoon,put,glass
